113,94,56,104,104
"[(12, 2689225, 63.2, 5184000), (15, 2459591, 62.1, 5184000), (17, 2435070, 60.9, 5184000), (19, 2424976, 60.8, 5184000), (20, 2422470, 61.0, 5184000), (21, 2420944, 61.8, 5184000), (22, 2415540, 62.5, 5184000), (23, 2412159, 61.7, 5184000), (24, 2410115, 62.5, 5184000), (25, 2360281, 65.6, 5184000), (26, 2354332, 63.5, 5184000), (27, 2348473, 64.5, 5184000), (28, 2335936, 63.3, 5184000), (29, 2296602, 65.6, 5184000), (30, 2293592, 63.2, 5184000), (31, 2159160, 61.0, 5184000), (32, 2156304, 62.2, 5184000), (33, 2153364, 61.8, 5184000), (34, 2134196, 63.1, 5184000), (35, 2132180, 62.6, 5184000), (36, 2122730, 62.9, 5184000), (37, 2114861, 64.3, 5184000), (38, 2112460, 64.7, 5184000), (39, 2107448, 65.3, 5184000), (40, 2102896, 64.3, 5184000), (41, 2097422, 63.8, 5184000), (42, 2092718, 63.5, 5184000), (43, 2082148, 63.0, 5184000), (44, 2071550, 64.8, 5184000), (45, 1958859, 64.4, 5184000), (46, 1923753, 66.4, 5184000), (47, 1912815, 65.8, 5184000), (48, 1910673, 65.7, 5184000), (49, 1816395, 69.2, 5184000), (50, 1799182, 70.3, 5184000), (51, 1778358, 69.1, 5184000), (52, 1757112, 70.0, 5184000), (53, 1744486, 69.8, 5184000), (54, 1730878, 69.2, 5184000), (55, 1725131, 69.8, 5184000), (56, 1714280, 71.3, 5184000), (57, 1704837, 70.5, 5184000), (58, 1698547, 70.7, 5184000), (59, 1685480, 69.8, 5184000), (60, 1675847, 70.5, 5184000), (61, 1670284, 70.3, 5184000), (62, 1661920, 70.0, 5184000), (63, 1654996, 71.1, 5184000), (64, 1638780, 69.7, 5184000), (65, 1636584, 70.8, 5184000), (66, 1631988, 69.3, 5184000), (67, 1628466, 69.6, 5184000), (68, 1625808, 69.0, 5184000), (69, 1621996, 69.8, 5184000), (70, 1605966, 71.8, 5184000), (71, 1604580, 71.5, 5184000), (72, 1602378, 71.7, 5184000), (73, 1584606, 70.1, 5184000), (74, 1583466, 70.1, 5184000), (75, 1582260, 70.6, 5184000), (76, 1572816, 71.1, 5184000), (77, 1570134, 70.1, 5184000), (78, 1568718, 69.9, 5184000), (79, 1557744, 70.6, 5184000), (80, 1556346, 70.6, 5184000), (81, 1555260, 71.6, 5184000), (82, 1551486, 70.4, 5184000), (83, 1551096, 70.1, 5184000), (84, 1549470, 72.5, 5184000), (85, 1543740, 71.3, 5184000), (86, 1542192, 70.5, 5184000), (87, 1541106, 71.5, 5184000), (88, 1533006, 70.8, 5184000), (89, 1514969, 71.6, 5184000), (90, 1500970, 72.2, 5184000), (91, 1495533, 72.2, 5184000), (92, 1489985, 72.3, 5184000), (93, 1486475, 71.1, 5184000), (94, 1471722, 71.7, 5184000), (95, 1462458, 71.8, 5184000), (96, 1460910, 71.1, 5184000), (97, 1453476, 70.8, 5184000), (98, 1451952, 72.4, 5184000), (99, 1451682, 72.5, 5184000), (100, 1438272, 71.3, 5184000), (101, 1437744, 72.2, 5184000), (102, 1436406, 73.2, 5184000), (103, 1428672, 72.2, 5184000), (104, 1427982, 73.8, 5184000), (105, 1426716, 72.5, 5184000), (106, 1416312, 72.3, 5184000), (107, 1414608, 72.7, 5184000), (108, 1413990, 73.0, 5184000), (109, 1356720, 72.8, 5184000), (110, 1330518, 72.9, 5184000), (111, 1318440, 73.4, 5184000), (112, 1308408, 73.2, 5184000), (113, 1304778, 73.7, 5184000), (114, 1299246, 73.4, 5184000), (115, 1292088, 73.2, 5184000), (116, 1285992, 74.0, 5184000), (117, 1281342, 73.6, 5184000), (118, 1275720, 73.8, 5184000), (119, 1269318, 73.4, 5184000), (120, 1258548, 73.0, 5184000), (121, 1255752, 74.4, 5184000), (122, 1245252, 73.4, 5184000), (123, 1242060, 74.0, 5184000), (124, 1236660, 75.4, 5184000), (125, 1206018, 73.3, 5184000), (126, 1186956, 74.8, 5184000), (127, 1181064, 74.6, 5184000), (128, 1172958, 74.4, 5184000), (-1, 0, 75.8, 100)]","[(21, 4733727, 70.4, 6912000), (22, 4722820, 71.1, 6912000), (23, 4704724, 72.1, 6912000), (31, 4566498, 60.8, 6912000), (36, 4396487, 64.9, 6912000), (37, 4362829, 61.1, 6912000), (39, 4359091, 62.9, 6912000), (41, 4355059, 61.1, 6912000), (44, 4195012, 71.5, 6912000), (45, 4041057, 70.6, 6912000), (46, 4036005, 71.1, 6912000), (47, 4030605, 72.9, 6912000), (48, 4029363, 72.1, 6912000), (49, 4028103, 70.5, 6912000), (50, 4020414, 72.8, 6912000), (51, 4020006, 71.8, 6912000), (52, 4019850, 71.5, 6912000), (53, 4019154, 70.7, 6912000), (54, 4018980, 73.7, 6912000), (55, 4017180, 74.1, 6912000), (56, 4001551, 70.6, 6912000), (57, 4001443, 71.5, 6912000), (58, 4001425, 70.7, 6912000), (59, 4001245, 69.5, 6912000), (60, 4000105, 71.1, 6912000), (61, 3999685, 72.4, 6912000), (129, 3951966, 65.3, 6912000), (62, 3715498, 73.2, 6912000), (63, 3708576, 71.6, 6912000), (64, 3707238, 73.4, 6912000), (65, 3700206, 72.8, 6912000), (66, 3695178, 71.9, 6912000), (67, 3694674, 71.2, 6912000), (68, 3693246, 73.1, 6912000), (69, 3693102, 72.3, 6912000), (70, 3693048, 71.4, 6912000), (71, 3690960, 70.6, 6912000), (72, 3689370, 73.5, 6912000), (73, 3687768, 72.8, 6912000), (74, 3686712, 72.1, 6912000), (75, 3686040, 72.1, 6912000), (76, 3686022, 73.2, 6912000), (77, 3680359, 72.0, 6912000), (78, 3679904, 72.0, 6912000), (79, 3678690, 72.5, 6912000), (80, 3678030, 72.9, 6912000), (81, 3676956, 74.3, 6912000), (82, 3676470, 71.3, 6912000), (83, 3676272, 73.4, 6912000), (84, 3676044, 74.5, 6912000), (85, 3675906, 73.4, 6912000), (86, 3675546, 72.1, 6912000), (87, 3675102, 73.0, 6912000), (88, 3675078, 73.4, 6912000), (89, 3674976, 72.2, 6912000), (90, 3674280, 73.9, 6912000), (91, 3673662, 74.0, 6912000), (92, 3673152, 73.1, 6912000), (93, 3554927, 73.3, 6912000), (94, 3543461, 72.2, 6912000), (95, 3543203, 73.4, 6912000), (96, 3543053, 73.7, 6912000), (97, 3542375, 72.5, 6912000), (98, 3541895, 73.3, 6912000), (99, 3540545, 72.8, 6912000), (100, 3540341, 73.8, 6912000), (101, 3391236, 71.6, 6912000), (102, 3390396, 74.2, 6912000), (103, 3389508, 74.4, 6912000), (104, 3388590, 73.1, 6912000), (105, 3388554, 71.9, 6912000), (106, 3385044, 74.1, 6912000), (107, 3384438, 71.5, 6912000), (108, 3381893, 74.3, 6912000), (109, 3300850, 74.9, 6912000), (110, 3135600, 75.8, 6912000), (111, 3135300, 75.7, 6912000), (112, 3133860, 76.2, 6912000), (113, 3133218, 75.0, 6912000), (114, 3131424, 74.8, 6912000), (115, 3128808, 76.0, 6912000), (116, 3121236, 75.4, 6912000), (117, 3120054, 74.2, 6912000), (118, 3119502, 76.2, 6912000), (119, 3117960, 74.8, 6912000), (120, 3116496, 76.2, 6912000), (121, 3114714, 75.1, 6912000), (122, 3035082, 75.9, 6912000), (123, 3034242, 74.3, 6912000), (124, 3033264, 75.2, 6912000), (125, 3033096, 74.9, 6912000), (126, 3031344, 75.7, 6912000), (127, 3030672, 76.4, 6912000), (128, 2885196, 76.3, 6912000), (-1, 0, 75.8, 100)]","[(0, 2512864, 62.6, 3456000), (1, 2198756, 62.6, 3456000), (2, 2198756, 62.6, 3456000), (3, 2198756, 62.6, 3456000), (4, 2198756, 62.6, 3456000), (5, 2198756, 62.6, 3456000), (6, 1895488, 69.6, 3456000), (7, 1884648, 62.6, 3456000), (8, 1884648, 62.6, 3456000), (9, 1884648, 62.6, 3456000), (10, 1884648, 62.6, 3456000), (11, 1884648, 62.6, 3456000), (12, 1884648, 62.6, 3456000), (13, 1884648, 62.6, 3456000), (14, 1884648, 62.6, 3456000), (15, 1884648, 62.6, 3456000), (16, 1884648, 62.6, 3456000), (17, 1857898, 72.6, 3456000), (18, 1844983, 72.3, 3456000), (19, 1839817, 74.2, 3456000), (20, 1820805, 73.3, 3456000), (21, 1820182, 74.4, 3456000), (22, 1624704, 69.6, 3456000), (23, 1624704, 69.6, 3456000), (24, 1624704, 69.6, 3456000), (25, 1624704, 69.6, 3456000), (26, 1624704, 69.6, 3456000), (27, 1592484, 72.6, 3456000), (28, 1592484, 72.6, 3456000), (29, 1592484, 72.6, 3456000), (30, 1592484, 72.6, 3456000), (31, 1592484, 72.6, 3456000), (32, 1581414, 72.3, 3456000), (33, 1581414, 72.3, 3456000), (34, 1581414, 72.3, 3456000), (35, 1581414, 72.3, 3456000), (36, 1581414, 72.3, 3456000), (37, 1576986, 74.2, 3456000), (38, 1576986, 74.2, 3456000), (39, 1576986, 74.2, 3456000), (40, 1576986, 74.2, 3456000), (41, 1576986, 74.2, 3456000), (42, 1560690, 73.3, 3456000), (43, 1560690, 73.3, 3456000), (44, 1560690, 73.3, 3456000), (45, 1560690, 73.3, 3456000), (46, 1560690, 73.3, 3456000), (47, 1560156, 74.4, 3456000), (48, 1560156, 74.4, 3456000), (49, 1560156, 74.4, 3456000), (50, 1560156, 74.4, 3456000), (51, 1560156, 74.4, 3456000), (52, 1342884, 75.5, 3456000), (53, 1342176, 75.3, 3456000), (54, 1330464, 75.8, 3456000), (55, 1328082, 76.9, 3456000), (-1, 0, 75.8, 100)]","[(0, 817464, 75.8, 2304000), (1, 814232, 75.0, 2304000), (2, 811576, 75.1, 2304000), (3, 796720, 75.4, 2304000), (4, 715281, 75.8, 2304000), (5, 715281, 75.8, 2304000), (6, 715281, 75.8, 2304000), (7, 715281, 75.8, 2304000), (8, 715281, 75.8, 2304000), (9, 712453, 75.0, 2304000), (10, 712453, 75.0, 2304000), (11, 712453, 75.0, 2304000), (12, 712453, 75.0, 2304000), (13, 712453, 75.0, 2304000), (14, 710129, 75.1, 2304000), (15, 710129, 75.1, 2304000), (16, 710129, 75.1, 2304000), (17, 710129, 75.1, 2304000), (18, 710129, 75.1, 2304000), (19, 697130, 75.4, 2304000), (20, 697130, 75.4, 2304000), (21, 697130, 75.4, 2304000), (22, 697130, 75.4, 2304000), (23, 697130, 75.4, 2304000), (24, 613098, 75.8, 2304000), (25, 613098, 75.8, 2304000), (26, 613098, 75.8, 2304000), (27, 613098, 75.8, 2304000), (28, 613098, 75.8, 2304000), (29, 613098, 75.8, 2304000), (30, 613098, 75.8, 2304000), (31, 613098, 75.8, 2304000), (32, 613098, 75.8, 2304000), (33, 613098, 75.8, 2304000), (34, 610674, 75.0, 2304000), (35, 610674, 75.0, 2304000), (36, 610674, 75.0, 2304000), (37, 610674, 75.0, 2304000), (38, 610674, 75.0, 2304000), (39, 610674, 75.0, 2304000), (40, 610674, 75.0, 2304000), (41, 610674, 75.0, 2304000), (42, 610674, 75.0, 2304000), (43, 610674, 75.0, 2304000), (44, 608682, 75.1, 2304000), (45, 608682, 75.1, 2304000), (46, 608682, 75.1, 2304000), (47, 608682, 75.1, 2304000), (48, 608682, 75.1, 2304000), (49, 608682, 75.1, 2304000), (50, 608682, 75.1, 2304000), (51, 608682, 75.1, 2304000), (52, 608682, 75.1, 2304000), (53, 608682, 75.1, 2304000), (54, 597540, 75.4, 2304000), (55, 597540, 75.4, 2304000), (56, 597540, 75.4, 2304000), (57, 597540, 75.4, 2304000), (58, 597540, 75.4, 2304000), (59, 597540, 75.4, 2304000), (60, 597540, 75.4, 2304000), (61, 597540, 75.4, 2304000), (62, 597540, 75.4, 2304000), (63, 597540, 75.4, 2304000), (64, 344792, 76.5, 2304000), (65, 341796, 76.0, 2304000), (66, 296639, 76.2, 2304000), (67, 295536, 76.5, 2304000), (68, 295536, 76.5, 2304000), (69, 295536, 76.5, 2304000), (70, 295536, 76.5, 2304000), (71, 295536, 76.5, 2304000), (72, 295351, 76.4, 2304000), (73, 293881, 76.0, 2304000), (74, 292968, 76.0, 2304000), (75, 292968, 76.0, 2304000), (76, 292968, 76.0, 2304000), (77, 292968, 76.0, 2304000), (78, 292968, 76.0, 2304000), (79, 284879, 76.6, 2304000), (80, 254262, 76.2, 2304000), (81, 254262, 76.2, 2304000), (82, 254262, 76.2, 2304000), (83, 254262, 76.2, 2304000), (84, 254262, 76.2, 2304000), (85, 253158, 76.4, 2304000), (86, 253158, 76.4, 2304000), (87, 253158, 76.4, 2304000), (88, 253158, 76.4, 2304000), (89, 253158, 76.4, 2304000), (90, 251898, 76.0, 2304000), (91, 251898, 76.0, 2304000), (92, 251898, 76.0, 2304000), (93, 251898, 76.0, 2304000), (94, 251898, 76.0, 2304000), (95, 244182, 76.6, 2304000), (96, 244182, 76.6, 2304000), (97, 244182, 76.6, 2304000), (98, 244182, 76.6, 2304000), (99, 244182, 76.6, 2304000), (100, 126708, 76.0, 2304000), (101, 125082, 75.9, 2304000), (102, 123960, 75.7, 2304000), (103, 121578, 75.7, 2304000), (-1, 0, 75.8, 100)]","[(0, 1314952, 65.7, 2304000), (1, 1247496, 67.1, 2304000), (2, 1228776, 70.8, 2304000), (3, 1150583, 65.7, 2304000), (4, 1150583, 65.7, 2304000), (5, 1150583, 65.7, 2304000), (6, 1150583, 65.7, 2304000), (7, 1150583, 65.7, 2304000), (8, 1126984, 68.7, 2304000), (9, 1091559, 67.1, 2304000), (10, 1091559, 67.1, 2304000), (11, 1091559, 67.1, 2304000), (12, 1091559, 67.1, 2304000), (13, 1091559, 67.1, 2304000), (14, 1075179, 70.8, 2304000), (15, 1075179, 70.8, 2304000), (16, 1075179, 70.8, 2304000), (17, 1075179, 70.8, 2304000), (18, 1075179, 70.8, 2304000), (19, 986214, 65.7, 2304000), (20, 986214, 65.7, 2304000), (21, 986214, 65.7, 2304000), (22, 986214, 65.7, 2304000), (23, 986214, 65.7, 2304000), (24, 986214, 65.7, 2304000), (25, 986214, 65.7, 2304000), (26, 986214, 65.7, 2304000), (27, 986214, 65.7, 2304000), (28, 986214, 65.7, 2304000), (29, 986111, 68.7, 2304000), (30, 986111, 68.7, 2304000), (31, 986111, 68.7, 2304000), (32, 986111, 68.7, 2304000), (33, 986111, 68.7, 2304000), (34, 935622, 67.1, 2304000), (35, 935622, 67.1, 2304000), (36, 935622, 67.1, 2304000), (37, 935622, 67.1, 2304000), (38, 935622, 67.1, 2304000), (39, 935622, 67.1, 2304000), (40, 935622, 67.1, 2304000), (41, 935622, 67.1, 2304000), (42, 935622, 67.1, 2304000), (43, 935622, 67.1, 2304000), (44, 921582, 70.8, 2304000), (45, 921582, 70.8, 2304000), (46, 921582, 70.8, 2304000), (47, 921582, 70.8, 2304000), (48, 921582, 70.8, 2304000), (49, 921582, 70.8, 2304000), (50, 921582, 70.8, 2304000), (51, 921582, 70.8, 2304000), (52, 921582, 70.8, 2304000), (53, 921582, 70.8, 2304000), (54, 845238, 68.7, 2304000), (55, 845238, 68.7, 2304000), (56, 845238, 68.7, 2304000), (57, 845238, 68.7, 2304000), (58, 845238, 68.7, 2304000), (59, 845238, 68.7, 2304000), (60, 845238, 68.7, 2304000), (61, 845238, 68.7, 2304000), (62, 845238, 68.7, 2304000), (63, 845238, 68.7, 2304000), (64, 768817, 68.7, 2304000), (65, 693168, 72.4, 2304000), (66, 658986, 68.7, 2304000), (67, 658986, 68.7, 2304000), (68, 658986, 68.7, 2304000), (69, 658986, 68.7, 2304000), (70, 658986, 68.7, 2304000), (71, 653751, 73.5, 2304000), (72, 608657, 73.7, 2304000), (73, 594144, 72.4, 2304000), (74, 594144, 72.4, 2304000), (75, 594144, 72.4, 2304000), (76, 594144, 72.4, 2304000), (77, 594144, 72.4, 2304000), (78, 586488, 75.3, 2304000), (79, 560358, 73.5, 2304000), (80, 560358, 73.5, 2304000), (81, 560358, 73.5, 2304000), (82, 560358, 73.5, 2304000), (83, 560358, 73.5, 2304000), (84, 542563, 75.6, 2304000), (85, 521706, 73.7, 2304000), (86, 521706, 73.7, 2304000), (87, 521706, 73.7, 2304000), (88, 521706, 73.7, 2304000), (89, 521706, 73.7, 2304000), (90, 502704, 75.3, 2304000), (91, 502704, 75.3, 2304000), (92, 502704, 75.3, 2304000), (93, 502704, 75.3, 2304000), (94, 502704, 75.3, 2304000), (95, 465054, 75.6, 2304000), (96, 465054, 75.6, 2304000), (97, 465054, 75.6, 2304000), (98, 465054, 75.6, 2304000), (99, 465054, 75.6, 2304000), (100, 355812, 75.5, 2304000), (101, 314886, 76.2, 2304000), (102, 303336, 76.0, 2304000), (103, 302898, 76.1, 2304000), (-1, 0, 75.8, 100)]"
option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0]",29.4,11223886,20160000,0.556740376984127
"[0, 1, 0, 0, 0]",27.9,11231409,20160000,0.5571135416666667
"[0, 2, 0, 0, 0]",27.6,11204088,20160000,0.5557583333333334
"[0, 2, 0, 0, 1]",29.0,11106408,20160000,0.5509130952380953
"[0, 2, 0, 0, 2]",25.1,11125504,20160000,0.5518603174603175
"[0, 2, 1, 0, 2]",25.1,10821125,20160000,0.5367621527777777
"[0, 2, 2, 0, 2]",25.1,10821125,20160000,0.5367621527777777
