option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19.7,243595597,557056000,0.4372910389619715
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20.0,243490639,557056000,0.43710262343462775
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",19.5,243250819,557056000,0.43667211016486673
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",19.3,243239758,557056000,0.4366522539924173
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",19.7,242912068,557056000,0.4360640007467831
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",19.6,242838284,557056000,0.435931547277114
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",19.0,243107180,557056000,0.43641425637637865
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]",20.5,243210893,557056000,0.4366004369399127
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0]",21.5,243027221,557056000,0.43627071784524357
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0]",20.8,242671836,557056000,0.4356327478745404
"[0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0]",21.5,242170102,557056000,0.4347320592543658
"[0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0]",21.9,241118977,557056000,0.43284513047162226
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0]",20.7,240670746,557056000,0.4320404878504136
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 1]",20.7,240732996,557056000,0.43215223604090075
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 2]",20.7,240518340,557056000,0.43176689596737133
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 3]",20.7,240653547,557056000,0.4320096130371094
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 2, 0, 2, 0, 3]",20.6,240295929,557056000,0.43136763449276194
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 2, 0, 2, 0, 4]",20.6,239585366,557056000,0.43009206614774814
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 2, 0, 2, 0, 5]",20.6,239627192,557056000,0.4301671501608456
"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 2, 2, 0, 2, 0, 5]",20.1,239176368,557056000,0.42935785271139704
"[0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 0, 5]",20.3,238666708,557056000,0.42844293571920955
"[0, 0, 0, 2, 0, 2, 2, 2, 1, 0, 1, 2, 2, 0, 2, 0, 5]",19.8,238608760,557056000,0.4283389102711397
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 0, 2, 0, 5]",20.2,237503284,557056000,0.42635441320082723
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 3, 2, 0, 2, 0, 5]",20.2,237309890,557056000,0.4260072416417739
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 4, 2, 0, 2, 0, 5]",20.8,234356279,557056000,0.4207050619686351
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 5, 2, 0, 2, 0, 5]",20.4,234013060,557056000,0.42008893181295953
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 6, 2, 0, 2, 0, 5]",20.4,234100385,557056000,0.42024569343118107
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 6, 3, 0, 2, 0, 5]",20.5,233940494,557056000,0.41995866483800554
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 6, 4, 0, 2, 0, 5]",21.8,231038805,557056000,0.4147496930290671
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 6, 5, 0, 2, 0, 5]",22.2,230794517,557056000,0.41431115902171417
"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",21.2,230703165,557056000,0.4141471683277803
"[0, 0, 0, 3, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",21.5,230434044,557056000,0.4136640553193934
"[0, 0, 0, 4, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",26.1,217224016,557056000,0.3899500517003677
"[0, 0, 0, 5, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",24.9,216518055,557056000,0.38868274464326746
"[0, 0, 0, 6, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",25.6,216121141,557056000,0.3879702238195083
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 2, 0, 5]",24.4,215958496,557056000,0.38767825137867645
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 3, 0, 5]",26.1,215758621,557056000,0.3873194454417509
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 4, 0, 5]",22.6,214683701,557056000,0.3853898010253906
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 5]",25.5,214641406,557056000,0.38531387508616727
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 6]",25.5,214648614,557056000,0.3853268145392923
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 7]",25.5,214631020,557056000,0.38529523064108456
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 8]",25.5,214560374,557056000,0.385168410357307
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 9]",25.5,214530866,557056000,0.3851154390222886
"[0, 0, 0, 7, 0, 2, 2, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",25.5,214515330,557056000,0.3850875495461857
"[0, 0, 0, 7, 0, 2, 3, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",25.4,214541526,557056000,0.38513457533892465
"[0, 0, 0, 7, 0, 2, 4, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",26.5,208871011,557056000,0.3749551409553079
"[0, 0, 0, 7, 0, 2, 5, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",26.5,208304292,557056000,0.37393779440487135
"[0, 0, 0, 7, 0, 2, 6, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",27.0,208094335,557056000,0.373560889748966
"[0, 0, 0, 7, 0, 2, 7, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",27.5,208061111,557056000,0.3735012476303998
"[0, 0, 0, 7, 0, 2, 8, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",26.9,207803378,557056000,0.3730385778090533
"[0, 0, 0, 7, 0, 2, 9, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",28.1,207499466,557056000,0.3724930096794577
"[0, 0, 0, 7, 0, 2, 10, 2, 2, 0, 1, 6, 6, 0, 5, 0, 10]",28.2,207551094,557056000,0.3725856897690717
"[0, 0, 0, 7, 0, 2, 10, 2, 2, 0, 1, 6, 6, 0, 5, 1, 10]",24.1,207733614,557056000,0.37291334084903494
"[0, 0, 0, 7, 0, 2, 10, 2, 2, 0, 1, 6, 6, 0, 5, 2, 10]",28.1,207123112,557056000,0.37181739717371326
