option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.1,239096359,557056000,0.4292142244226792
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20.8,238987606,557056000,0.429018996294807
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",21.0,240088351,557056000,0.43099500050264244
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",20.2,240232189,557056000,0.43125321152630974
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",20.9,240127666,557056000,0.4310655768899357
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",20.3,241500007,557056000,0.43352913710650276
"[0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",20.7,240750188,557056000,0.4321830982881434
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",21.4,241156780,557056000,0.43291299258961397
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",19.8,241059250,557056000,0.43273791144875917
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",19.9,240970072,557056000,0.43257782341452206
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",19.8,240844996,557056000,0.43235329302619485
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0]",20.7,240841423,557056000,0.43234687894933366
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 3, 1, 0, 1, 1, 1, 0, 0]",21.0,240648454,557056000,0.43200047032973343
"[0, 1, 3, 0, 0, 0, 0, 0, 1, 4, 1, 0, 1, 1, 1, 0, 0]",21.1,237019750,557056000,0.42548639634076285
"[0, 1, 4, 0, 0, 0, 0, 0, 1, 4, 1, 0, 1, 1, 1, 0, 0]",21.4,225605474,557056000,0.40499603989545035
"[0, 1, 4, 0, 0, 0, 0, 0, 1, 4, 1, 0, 1, 1, 1, 1, 0]",21.5,225423164,557056000,0.4046687657973346
"[0, 1, 4, 0, 0, 0, 0, 0, 1, 4, 1, 0, 1, 1, 1, 2, 0]",22.5,225176384,557056000,0.4042257582720588
"[0, 1, 4, 0, 0, 0, 0, 0, 1, 4, 1, 0, 1, 2, 1, 2, 0]",21.9,225314963,557056000,0.40447452859317556
