10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"[(0, 31458858, 93.6, 65536000), (1, 31410522, 93.1, 65536000), (2, 31310632, 93.9, 65536000), (3, 31268960, 93.4, 65536000), (4, 20551466, 93.6, 65536000), (5, 20474590, 93.6, 65536000), (6, 20241768, 93.6, 65536000), (7, 20221994, 93.6, 65536000), (8, 20147714, 93.7, 65536000), (9, 20104328, 93.6, 65536000), (-1, 0, 93.5, 100)]","[(0, 25520398, 93.7, 65536000), (1, 25395360, 93.0, 65536000), (2, 24971176, 93.6, 65536000), (3, 24844494, 94.2, 65536000), (4, 15386474, 93.4, 65536000), (5, 15108810, 94.1, 65536000), (6, 14709392, 93.7, 65536000), (7, 14603852, 93.7, 65536000), (8, 14246942, 93.9, 65536000), (9, 14086860, 93.7, 65536000), (-1, 0, 93.5, 100)]","[(0, 27565660, 92.6, 65536000), (1, 27331528, 92.6, 65536000), (2, 26924804, 91.8, 65536000), (3, 26695176, 92.9, 65536000), (4, 16292670, 93.6, 65536000), (5, 16014828, 93.4, 65536000), (6, 15302288, 93.9, 65536000), (7, 15135116, 93.9, 65536000), (8, 14953966, 93.5, 65536000), (9, 14593384, 93.8, 65536000), (-1, 0, 93.5, 100)]","[(0, 33452964, 91.5, 65536000), (1, 33025808, 91.4, 65536000), (2, 32556584, 90.9, 65536000), (3, 32119324, 90.8, 65536000), (4, 18053918, 91.9, 65536000), (5, 17411586, 92.2, 65536000), (6, 16030410, 93.5, 65536000), (7, 15421456, 93.7, 65536000), (8, 15044880, 93.6, 65536000), (9, 14151216, 93.5, 65536000), (-1, 0, 93.5, 100)]","[(0, 15449259, 93.1, 65536000), (1, 15204405, 93.2, 65536000), (2, 14793999, 93.2, 65536000), (3, 14560731, 93.5, 65536000), (4, 7536244, 93.8, 65536000), (5, 7247202, 93.6, 65536000), (6, 6766390, 93.8, 65536000), (7, 6609172, 93.9, 65536000), (8, 6342112, 94.1, 65536000), (9, 6007006, 93.9, 65536000), (-1, 0, 93.5, 100)]","[(0, 16440186, 90.8, 32768000), (1, 16127745, 90.7, 32768000), (2, 15776640, 91.4, 32768000), (3, 15460944, 90.8, 32768000), (4, 8811732, 92.5, 32768000), (5, 8536256, 93.1, 32768000), (6, 8159438, 93.5, 32768000), (7, 7982928, 94.0, 32768000), (8, 7849278, 93.6, 32768000), (9, 7625420, 93.4, 32768000), (-1, 0, 93.5, 100)]","[(0, 15866877, 92.3, 32768000), (1, 15667863, 92.5, 32768000), (2, 15385308, 91.9, 32768000), (3, 15183108, 91.6, 32768000), (4, 8674640, 93.1, 32768000), (5, 8429284, 93.3, 32768000), (6, 8137732, 93.5, 32768000), (7, 7998234, 93.7, 32768000), (8, 7818422, 93.1, 32768000), (9, 7531688, 93.4, 32768000), (-1, 0, 93.5, 100)]","[(0, 20689768, 92.9, 32768000), (1, 20490732, 92.7, 32768000), (2, 20129678, 93.5, 32768000), (3, 19921336, 92.9, 32768000), (4, 12545106, 93.3, 32768000), (5, 12221612, 93.4, 32768000), (6, 11943488, 94.2, 32768000), (7, 11807352, 93.8, 32768000), (8, 11706476, 93.9, 32768000), (9, 11543648, 93.5, 32768000), (-1, 0, 93.5, 100)]","[(0, 14563557, 92.1, 32768000), (1, 14349936, 92.4, 32768000), (2, 14020980, 92.3, 32768000), (3, 13803501, 92.4, 32768000), (4, 7705306, 93.1, 32768000), (5, 7469792, 93.1, 32768000), (6, 7261730, 93.8, 32768000), (7, 7113436, 93.3, 32768000), (8, 6874112, 93.5, 32768000), (9, 6586030, 93.5, 32768000), (-1, 0, 93.5, 100)]","[(0, 9080520, 91.1, 16384000), (1, 8883315, 90.3, 16384000), (2, 8598225, 90.6, 16384000), (3, 8376075, 90.6, 16384000), (4, 4828432, 92.5, 16384000), (5, 4603242, 93.2, 16384000), (6, 4488814, 92.7, 16384000), (7, 4395816, 93.2, 16384000), (8, 4317526, 93.2, 16384000), (9, 4236646, 93.1, 16384000), (-1, 0, 93.5, 100)]","[(0, 10136529, 91.7, 16384000), (1, 9979149, 91.6, 16384000), (2, 9746262, 91.7, 16384000), (3, 9581352, 92.1, 16384000), (4, 5903738, 93.2, 16384000), (5, 5740612, 93.8, 16384000), (6, 5628072, 93.2, 16384000), (7, 5550032, 93.8, 16384000), (8, 5494400, 93.7, 16384000), (9, 5424696, 93.9, 16384000), (-1, 0, 93.5, 100)]","[(0, 10646001, 93.0, 16384000), (1, 10460109, 92.7, 16384000), (2, 10152246, 93.3, 16384000), (3, 9939291, 92.7, 16384000), (4, 6395206, 93.6, 16384000), (5, 6194968, 93.9, 16384000), (6, 6058310, 93.6, 16384000), (7, 5987324, 93.9, 16384000), (8, 5934012, 94.0, 16384000), (9, 5871740, 93.8, 16384000), (-1, 0, 93.5, 100)]","[(0, 9571077, 93.3, 16384000), (1, 9371553, 93.9, 16384000), (2, 9119025, 93.8, 16384000), (3, 8914629, 93.2, 16384000), (4, 5463364, 93.7, 16384000), (5, 5307940, 94.0, 16384000), (6, 5173312, 93.6, 16384000), (7, 5082416, 93.4, 16384000), (8, 5008858, 93.8, 16384000), (9, 4940118, 93.4, 16384000), (-1, 0, 93.5, 100)]","[(0, 4628721, 93.6, 8192000), (1, 4461207, 93.3, 8192000), (2, 4209318, 94.0, 8192000), (3, 4019658, 93.1, 8192000), (4, 2469636, 93.5, 8192000), (5, 2295658, 94.0, 8192000), (6, 2197850, 93.3, 8192000), (7, 2138614, 93.6, 8192000), (8, 2097058, 93.6, 8192000), (9, 2041620, 93.3, 8192000), (-1, 0, 93.5, 100)]","[(0, 3789072, 93.4, 8192000), (1, 3648936, 93.6, 8192000), (2, 3387909, 93.9, 8192000), (3, 3236508, 93.9, 8192000), (4, 2031844, 93.6, 8192000), (5, 1822110, 93.9, 8192000), (6, 1693378, 93.4, 8192000), (7, 1620550, 93.5, 8192000), (8, 1583276, 93.3, 8192000), (9, 1543314, 93.6, 8192000), (-1, 0, 93.5, 100)]","[(0, 3887475, 93.4, 8192000), (1, 3759126, 93.4, 8192000), (2, 3472674, 93.4, 8192000), (3, 3347364, 93.5, 8192000), (4, 2241496, 93.3, 8192000), (5, 2002044, 93.5, 8192000), (6, 1841460, 93.7, 8192000), (7, 1779056, 93.6, 8192000), (8, 1734950, 93.6, 8192000), (9, 1696774, 93.6, 8192000), (-1, 0, 93.5, 100)]","[(0, 2826831, 93.4, 8192000), (1, 2752440, 93.4, 8192000), (2, 2619387, 93.5, 8192000), (3, 2542036, 93.5, 8192000), (4, 1638910, 93.4, 8192000), (5, 1533796, 93.5, 8192000), (6, 1485974, 93.5, 8192000), (7, 1446874, 93.5, 8192000), (8, 1427524, 93.5, 8192000), (9, 1406002, 93.5, 8192000), (-1, 0, 93.5, 100)]"
option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19.6,242403449,557056000,0.4351509525074678
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",19.5,242262926,557056000,0.43489869241153495
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",19.6,242136131,557056000,0.43467107615751377
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",20.7,242421872,557056000,0.43518402458639704
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",20.8,242358287,557056000,0.4350698798684513
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",19.8,241930383,557056000,0.4343017272949219
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",20.0,242539674,557056000,0.4353954970415901
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1]",20.2,242502417,557056000,0.43532861507640164
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 2]",20.2,242470389,557056000,0.43527111995921414
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 3]",20.2,242425850,557056000,0.4351911656996783
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 1, 3]",19.8,242311163,557056000,0.4349852851418888
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 2, 3]",20.2,241975382,557056000,0.43438250732421874
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 3, 3]",20.6,241826546,557056000,0.43411532413258275
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 3]",20.7,241680157,557056000,0.433852533677045
"[0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 3]",20.9,241333925,557056000,0.4332309947294347
"[0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 3]",20.4,241522007,557056000,0.43356863044289984
"[0, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 3]",20.3,235266554,557056000,0.4223391436408548
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 3]",20.4,235030354,557056000,0.4219151288200827
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 4]",20.5,234491841,557056000,0.42094841631721047
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 5]",20.5,234462486,557056000,0.42089571964039524
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 6]",20.5,234424628,557056000,0.4208277587890625
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 7]",20.5,234398236,557056000,0.42078038114659927
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 8]",20.5,234385852,557056000,0.420758149988511
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3, 9]",20.5,234372584,557056000,0.4207343319163603
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 4, 9]",19.9,234123012,557056000,0.42028631232766545
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 5, 9]",20.4,233874853,557056000,0.4198408292882583
"[0, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 6, 9]",20.5,233799651,557056000,0.4197058302935432
"[0, 0, 1, 1, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 6, 9]",20.9,233393554,557056000,0.41897682459214153
"[0, 0, 1, 1, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 4, 6, 9]",22.2,232277821,557056000,0.41697391465130973
"[0, 0, 1, 1, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 5, 6, 9]",21.9,232178969,557056000,0.4167964603199678
"[0, 0, 1, 1, 4, 0, 1, 0, 2, 0, 0, 0, 1, 0, 5, 6, 9]",22.7,232793279,557056000,0.41789923993278955
"[0, 0, 1, 1, 4, 0, 1, 0, 3, 0, 0, 0, 1, 0, 5, 6, 9]",21.9,232695481,557056000,0.4177236776912914
"[0, 0, 1, 1, 4, 0, 1, 0, 4, 0, 0, 0, 1, 0, 5, 6, 9]",21.2,226852795,557056000,0.4072351702521829
"[0, 0, 1, 1, 4, 0, 1, 0, 5, 0, 0, 0, 1, 0, 5, 6, 9]",21.6,227087319,557056000,0.40765617639878216
"[0, 0, 1, 1, 4, 0, 1, 0, 6, 0, 0, 0, 1, 0, 5, 6, 9]",21.8,226864766,557056000,0.4072566600126379
"[0, 0, 1, 1, 4, 1, 1, 0, 6, 0, 0, 0, 1, 0, 5, 6, 9]",22.6,226599702,557056000,0.40678082993451287
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 0, 0, 1, 0, 5, 6, 9]",22.1,226533515,557056000,0.4066620142319623
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 0, 0, 2, 0, 5, 6, 9]",22.0,226462277,557056000,0.4065341312184053
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 1, 0, 2, 0, 5, 6, 9]",22.0,226386724,557056000,0.4063985021254596
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 2, 0, 2, 0, 5, 6, 9]",24.1,226188701,557056000,0.40604302080939797
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 3, 0, 2, 0, 5, 6, 9]",24.9,226152791,557056000,0.40597855691348805
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 4, 0, 2, 0, 5, 6, 9]",25.4,222628014,557056000,0.3996510476505055
"[0, 0, 1, 1, 4, 2, 1, 0, 6, 0, 5, 0, 2, 0, 5, 6, 9]",25.8,222527553,557056000,0.39947070492015163
"[0, 0, 1, 1, 5, 2, 1, 0, 6, 0, 5, 0, 2, 0, 5, 6, 9]",25.9,222679052,557056000,0.3997426686006434
"[0, 0, 1, 1, 6, 2, 1, 0, 6, 0, 5, 0, 2, 0, 5, 6, 9]",26.1,222122181,557056000,0.39874300070369945
"[0, 0, 1, 1, 7, 2, 1, 0, 6, 0, 5, 0, 2, 0, 5, 6, 9]",25.6,222098922,557056000,0.39870124727136946
